大侦探波洛第二季 罪案,悬疑
大侦探波洛第三季	罪案,悬疑
蒙面歌王（美版）第一季	真人秀
校园时代第一季	喜剧
真相的负担第二季	罪案
成长不容易第二季	喜剧
芝加哥医院第四季	医务,剧情
金色年代第六季	喜剧
无良公司第二季	喜剧
为师不尊第一季	喜剧
分久再合第二季	喜剧
双面警长第二季	罪案,惊悚,剧情
摩登家庭第十季	都市,家庭,喜剧
菜鸟老警第一季	罪案,动作
蓝皮书计划第一季	悬疑,历史
上帝加我好友第一季	喜剧
内裤队长传奇第二季	动画
致命武器第三季	罪案,动作,剧情
奇迹缔造者第一季	喜剧,剧情
我们的生活第三季	喜剧
BBC：宝贝的神奇世界	记录
(加版)血仇第二季	罪案,传记
天赋异禀第二季	科幻,动作
复仇者集结第五季	动画
美式主妇第三季	喜剧
维多利亚第三季	历史,剧情
雪岛迷踪第三季	惊悚,悬疑,剧情
唤醒死者第三季	罪案,悬疑,剧情
劳瑞娜第一季	记录
实习医生格蕾第十五季	爱情,剧情
偶像战争第一季	歌舞,剧情
糟糕历史第六季	家庭,喜剧,历史
海军罪案调查处第十六季	罪案,剧情
联邦调查局第一季	罪案,剧情
喜新不厌旧第五季	喜剧
芝加哥烈焰第七季	罪案,剧情
海军罪案调查处新奥尔良第五季	罪案,悬疑,动作
医院革命第一季	医务,剧情
金氏便利店第三季	家庭,喜剧
富家穷路第五季	喜剧
麻烦一家人第一季	爱情,喜剧,剧情
我即黑夜第一季	惊悚,悬疑,剧情
老爸有招第三季	家庭,喜剧
碰撞第一季	惊悚,动作,剧情
怪异城市第一季	科幻,喜剧
浮生若寄第三季	喜剧,剧情
美国灵魂第一季	歌舞,历史,剧情,传记
末日之旅第一季	惊悚,悬疑
命运航班第一季	科幻,家庭,剧情
法律与秩序特殊受害者第二十季	罪案,惊悚,悬疑,剧情
住院医师第二季	医务,剧情
这个警察有点烦第六季	罪案,喜剧
仁医第二季	医务,剧情
验尸官第一季	剧情
变形金刚：领袖之证第一季	动画
天佑吾王第一季	剧情
安迪·麦克第二季	青春,剧情
黑白恋曲第一季	爱情,暴力
龙王子第二季	奇幻,动画
东邻西舍第一季	喜剧
十全八美第一季	喜剧
无声的证言第六季	罪案,剧情
无耻之徒第九季	家庭,喜剧,剧情
新版夏威夷神探第一季	罪案,动作
西可可路一号第1-2季	罪案,剧情
守望者第一季	奇幻,动作
周六夜现场第四十四季	真人秀
神探默多克第十二季	罪案,悬疑,剧情
庭审专家第三季	律政,剧情
叛国者第一季	迷你剧,惊悚,悬疑,剧情
亡命天涯第一季	罪案,剧情,冒险
急速蕾恩第一季	喜剧
致命标记第一季	惊悚
众口难调第三季	喜剧,剧情
巴普蒂斯特第一季	剧情
国务卿女士第五季	政治,剧情
法律与秩序第十五季	罪案,悬疑,剧情
柏林谍影第三季	惊悚,动作,剧情
豪门恩怨第二季	罪案,剧情
占领区第二季	政治,惊悚,剧情
星球大战：抵抗组织第一季	动画,动作,冒险
行尸走肉第九季	剧情,丧尸
美丽性世界第一季	记录,喜剧
真探第三季	罪案,悬疑,剧情
女超人第四季	科幻,动作,冒险
呼叫助产士：2018圣诞特别篇	爱情,剧情
布莱切利四人组之旧金山第一季	罪案,剧情
信任之危第一季	惊悚,悬疑,剧情
金装律师第八季	律政,剧情
新圣女魔咒第一季	魔幻,悬疑,剧情
海军罪案调查处：洛杉矶第十季	罪案,惊悚,悬疑,剧情
赎金第三季	罪案,剧情
锲而不舍第六季	罪案,悬疑,剧情
开心汉堡店第九季	喜剧,动画
辛普森一家第三十季	家庭,喜剧,动画,剧情
硅谷繁荣第一季	剧情
单亲辣妈第二季	喜剧
相对宇宙第二季	科幻,剧情
我爱露西第五季	歌舞,家庭,喜剧
鲁保罗变装皇后秀.众婊季第四季	真人秀
